run_dir,scope,model_dir,branch,generation,stage_name,status
C:\Users\kiris\Documents\New project\outputs\runs\anchoring_confirmatory_append_seed51_20260422_223453,run,,,,data_prep,completed
C:\Users\kiris\Documents\New project\outputs\runs\anchoring_confirmatory_append_seed51_20260422_223453,run,,,,aggregate,completed
C:\Users\kiris\Documents\New project\outputs\runs\anchoring_confirmatory_append_seed51_20260422_223453,run,,,,plotting,completed
C:\Users\kiris\Documents\New project\outputs\runs\anchoring_confirmatory_append_seed51_20260422_223453,context,qwen2.5_0.5b,anchor_10_replace,0.0,generation,completed
C:\Users\kiris\Documents\New project\outputs\runs\anchoring_confirmatory_append_seed51_20260422_223453,context,qwen2.5_0.5b,anchor_10_replace,0.0,answer_extraction,completed
C:\Users\kiris\Documents\New project\outputs\runs\anchoring_confirmatory_append_seed51_20260422_223453,context,qwen2.5_0.5b,anchor_10_replace,0.0,accuracy,completed
C:\Users\kiris\Documents\New project\outputs\runs\anchoring_confirmatory_append_seed51_20260422_223453,context,qwen2.5_0.5b,anchor_10_replace,0.0,judge,completed
C:\Users\kiris\Documents\New project\outputs\runs\anchoring_confirmatory_append_seed51_20260422_223453,context,qwen2.5_0.5b,anchor_10_replace,0.0,synthetic_build,completed
C:\Users\kiris\Documents\New project\outputs\runs\anchoring_confirmatory_append_seed51_20260422_223453,context,qwen2.5_0.5b,anchor_10_replace,0.0,anchoring,completed
C:\Users\kiris\Documents\New project\outputs\runs\anchoring_confirmatory_append_seed51_20260422_223453,context,qwen2.5_0.5b,anchor_10_replace,1.0,generation,completed
C:\Users\kiris\Documents\New project\outputs\runs\anchoring_confirmatory_append_seed51_20260422_223453,context,qwen2.5_0.5b,anchor_10_replace,1.0,answer_extraction,completed
C:\Users\kiris\Documents\New project\outputs\runs\anchoring_confirmatory_append_seed51_20260422_223453,context,qwen2.5_0.5b,anchor_10_replace,1.0,accuracy,completed
C:\Users\kiris\Documents\New project\outputs\runs\anchoring_confirmatory_append_seed51_20260422_223453,context,qwen2.5_0.5b,anchor_10_replace,1.0,judge,completed
C:\Users\kiris\Documents\New project\outputs\runs\anchoring_confirmatory_append_seed51_20260422_223453,context,qwen2.5_0.5b,anchor_10_replace,1.0,synthetic_build,completed
C:\Users\kiris\Documents\New project\outputs\runs\anchoring_confirmatory_append_seed51_20260422_223453,context,qwen2.5_0.5b,anchor_10_replace,1.0,anchoring,completed
C:\Users\kiris\Documents\New project\outputs\runs\anchoring_confirmatory_append_seed51_20260422_223453,context,qwen2.5_0.5b,anchor_10_replace,2.0,generation,completed
C:\Users\kiris\Documents\New project\outputs\runs\anchoring_confirmatory_append_seed51_20260422_223453,context,qwen2.5_0.5b,anchor_10_replace,2.0,answer_extraction,completed
C:\Users\kiris\Documents\New project\outputs\runs\anchoring_confirmatory_append_seed51_20260422_223453,context,qwen2.5_0.5b,anchor_10_replace,2.0,accuracy,completed
C:\Users\kiris\Documents\New project\outputs\runs\anchoring_confirmatory_append_seed51_20260422_223453,context,qwen2.5_0.5b,anchor_10_replace,2.0,judge,completed
