category,run_id,seed,model_name,branch,generation,example_id,question,answer_gold,is_correct,overall_pedagogical_score,is_silent_error,raw_response,evaluation_mode
silent_error_candidate,baseline_series_seed45_20260421_214816,45,qwen2.5:0.5b,anchor_20,2.0,gsm8k_aeb1295355e32761,Georgia has 25 pieces of stationery while Lorene has three times as many pieces of stationery as Georgia. How many fewer pieces of stationery does Georgia have than Lorene?,,True,0.0,True,,inference_recycling_only
silent_error_candidate,baseline_series_seed45_20260421_214816,45,qwen2.5:0.5b,anchor_20,2.0,gsm8k_be950ca7c6712927,"Viggo spent $80 on a shirt. He paid the shirt using $20 and $10 bills. If she gave the clerk one more $20 bill than $10 bills, how many $10 bills did he give?",,True,6.0,True,,inference_recycling_only
pedagogical_decline_gen0_to_gen2,baseline_series_seed45_20260421_214816,45,qwen2.5:0.5b,anchor_20,2.0,gsm8k_06065e55731f16a9,"Mrs. Lopez and her family are going to the movie theatre.  Adult tickets are $11.  Children’s tickets (ages 3-12) are $8.  Senior citizen’s tickets (ages 60+) are $9.  Mrs. Lopez needs to buy movie tickets for her husband, herself, her parents (ages 72 and 75), and her three children (ages 7, 10, 14).  How much money does she need to buy everyone’s tickets?",,False,0.0,True,,inference_recycling_only
pedagogical_decline_gen0_to_gen2,baseline_series_seed45_20260421_214816,45,qwen2.5:0.5b,anchor_10,2.0,gsm8k_751c6c44543e798e,"A dragon hoards jewels and gold in its cave. A jealous king snuck in and stole three prize jewels. The dragon burned him to a crisp and stole back its jewels, along with twice as many of the king’s crown jewels from his crown that melted in the dragon’s fire. The new jewels were a third of the number of jewels the dragon had owned before. How many jewels did the dragon own in the end?",,False,2.0,True,,inference_recycling_only
pedagogical_decline_gen0_to_gen2,baseline_series_seed45_20260421_214816,45,qwen2.5:0.5b,pure_recycling,2.0,gsm8k_aab9e32a0eb91e24,John has 25 horses.  He feeds each horse twice a day and feeds them 20 pounds of food at each feeding.  He buys half ton bags of food.  How many of those will he have to buy in 60 days?,,False,4.0,True,,inference_recycling_only
anchor_better_than_pure,baseline_series_seed45_20260421_214816,45,qwen2.5:0.5b,anchor_10,0.0,gsm8k_06065e55731f16a9,"Mrs. Lopez and her family are going to the movie theatre.  Adult tickets are $11.  Children’s tickets (ages 3-12) are $8.  Senior citizen’s tickets (ages 60+) are $9.  Mrs. Lopez needs to buy movie tickets for her husband, herself, her parents (ages 72 and 75), and her three children (ages 7, 10, 14).  How much money does she need to buy everyone’s tickets?",,False,8.0,False,,inference_recycling_only
anchor_better_than_pure,baseline_series_seed45_20260421_214816,45,qwen2.5:0.5b,anchor_10,0.0,gsm8k_362ba5928dea6e4f,"Cordelia is dyeing her hair red. To get the color she wants, she first has to bleach her dark brown hair to blonde, and then she has to apply the dye. The whole process will take 9 hours. Dyeing takes twice as long as bleaching. How many hours will it take Cordelia to bleach her hair?",,True,8.0,False,,inference_recycling_only
anchor_better_than_pure,baseline_series_seed45_20260421_214816,45,qwen2.5:0.5b,anchor_10,0.0,gsm8k_924da94694f884fb,"Jack and Jill race up the hill to see who gets there fastest. Jack ran up the first half of the hill in 19 seconds. He finished running up the hill 7 seconds before Jill did. If Jill finished the race in 32 seconds, how long did it take Jack to run up the second half of the hill?",,False,8.0,False,,inference_recycling_only
pure_degrades_more_than_anchor_gen0_to_gen2,baseline_series_seed45_20260421_214816,45,qwen2.5:0.5b,anchor_10,2.0,gsm8k_3f6e2f7a4278979f,Tracy set up a booth at an art fair. 20 people came to look at her art. Four of those customers bought two paintings each. The next 12 of those customers bought one painting each. The last 4 customers bought four paintings each.  How many paintings did Tracy sell at the art fair?,,True,8.0,False,,inference_recycling_only
pure_degrades_more_than_anchor_gen0_to_gen2,baseline_series_seed45_20260421_214816,45,qwen2.5:0.5b,anchor_20,2.0,gsm8k_3f6e2f7a4278979f,Tracy set up a booth at an art fair. 20 people came to look at her art. Four of those customers bought two paintings each. The next 12 of those customers bought one painting each. The last 4 customers bought four paintings each.  How many paintings did Tracy sell at the art fair?,,True,8.0,False,,inference_recycling_only
