generation,defect_name,n_seeds,rate_before_mean,rate_after_mean,delta_after_minus_before_mean,allowed_rate_mean,violation_count_mean,violation_count_max,actual_count_mean,allowed_count_mean,relaxation_steps_any,relaxation_steps_counts
0,incorrect_answer,3,0.6133333333333334,0.6054421768707483,-0.007891156462585055,0.3,14.666666666666666,18.0,29.666666666666668,15.0,relax_incorrect_answer|relax_low_reasoning|relax_low_structure|relax_silent_error,"{""relax_incorrect_answer"": 3, ""relax_low_reasoning"": 3, ""relax_low_structure"": 1, ""relax_silent_error"": 3}"
0,low_reasoning,3,0.45999999999999996,0.4489795918367347,-0.011020408163265308,0.25,10.0,12.0,22.0,12.0,relax_incorrect_answer|relax_low_reasoning|relax_low_structure|relax_silent_error,"{""relax_incorrect_answer"": 3, ""relax_low_reasoning"": 3, ""relax_low_structure"": 1, ""relax_silent_error"": 3}"
0,low_structure,3,0.3066666666666667,0.29251700680272114,-0.014149659863945582,0.3,1.0,3.0,14.333333333333334,15.0,relax_incorrect_answer|relax_low_reasoning|relax_low_structure|relax_silent_error,"{""relax_incorrect_answer"": 3, ""relax_low_reasoning"": 3, ""relax_low_structure"": 1, ""relax_silent_error"": 3}"
0,parse_failure,3,0.02,0.0,-0.02,0.0,0.0,0.0,0.0,0.0,relax_incorrect_answer|relax_low_reasoning|relax_low_structure|relax_silent_error,"{""relax_incorrect_answer"": 3, ""relax_low_reasoning"": 3, ""relax_low_structure"": 1, ""relax_silent_error"": 3}"
0,silent_error,3,0.26666666666666666,0.2585034013605442,-0.008163265306122464,0.10000000000000002,7.666666666666667,9.0,12.666666666666666,5.0,relax_incorrect_answer|relax_low_reasoning|relax_low_structure|relax_silent_error,"{""relax_incorrect_answer"": 3, ""relax_low_reasoning"": 3, ""relax_low_structure"": 1, ""relax_silent_error"": 3}"
1,incorrect_answer,3,0.5599999999999999,0.5476190476190476,-0.012380952380952381,0.3,11.666666666666666,13.0,26.666666666666668,15.0,relax_incorrect_answer|relax_low_reasoning|relax_low_structure|relax_silent_error,"{""relax_incorrect_answer"": 3, ""relax_low_reasoning"": 3, ""relax_low_structure"": 2, ""relax_silent_error"": 3}"
1,low_reasoning,3,0.47333333333333333,0.45890022675736963,-0.014433106575963714,0.25,10.333333333333334,11.0,22.333333333333332,12.0,relax_incorrect_answer|relax_low_reasoning|relax_low_structure|relax_silent_error,"{""relax_incorrect_answer"": 3, ""relax_low_reasoning"": 3, ""relax_low_structure"": 2, ""relax_silent_error"": 3}"
1,low_structure,3,0.3333333333333333,0.3147675736961451,-0.018565759637188223,0.3,1.0,2.0,15.333333333333334,15.0,relax_incorrect_answer|relax_low_reasoning|relax_low_structure|relax_silent_error,"{""relax_incorrect_answer"": 3, ""relax_low_reasoning"": 3, ""relax_low_structure"": 2, ""relax_silent_error"": 3}"
1,parse_failure,3,0.02666666666666667,0.0,-0.02666666666666667,0.0,0.0,0.0,0.0,0.0,relax_incorrect_answer|relax_low_reasoning|relax_low_structure|relax_silent_error,"{""relax_incorrect_answer"": 3, ""relax_low_reasoning"": 3, ""relax_low_structure"": 2, ""relax_silent_error"": 3}"
1,silent_error,3,0.24666666666666667,0.23979591836734693,-0.0068707482993197455,0.10000000000000002,6.666666666666667,11.0,11.666666666666666,5.0,relax_incorrect_answer|relax_low_reasoning|relax_low_structure|relax_silent_error,"{""relax_incorrect_answer"": 3, ""relax_low_reasoning"": 3, ""relax_low_structure"": 2, ""relax_silent_error"": 3}"
2,incorrect_answer,3,0.52,0.5060941043083901,-0.013905895691609974,0.3,9.666666666666666,14.0,24.666666666666668,15.0,relax_incorrect_answer|relax_low_reasoning|relax_low_structure|relax_silent_error,"{""relax_incorrect_answer"": 3, ""relax_low_reasoning"": 3, ""relax_low_structure"": 2, ""relax_silent_error"": 3}"
2,low_reasoning,3,0.4666666666666666,0.4583333333333333,-0.008333333333333323,0.25,10.333333333333334,14.0,22.333333333333332,12.0,relax_incorrect_answer|relax_low_reasoning|relax_low_structure|relax_silent_error,"{""relax_incorrect_answer"": 3, ""relax_low_reasoning"": 3, ""relax_low_structure"": 2, ""relax_silent_error"": 3}"
2,low_structure,3,0.34,0.32837301587301587,-0.011626984126984152,0.3,1.6666666666666667,4.0,16.0,15.0,relax_incorrect_answer|relax_low_reasoning|relax_low_structure|relax_silent_error,"{""relax_incorrect_answer"": 3, ""relax_low_reasoning"": 3, ""relax_low_structure"": 2, ""relax_silent_error"": 3}"
2,parse_failure,3,0.02666666666666667,0.0,-0.02666666666666667,0.0,0.0,0.0,0.0,0.0,relax_incorrect_answer|relax_low_reasoning|relax_low_structure|relax_silent_error,"{""relax_incorrect_answer"": 3, ""relax_low_reasoning"": 3, ""relax_low_structure"": 2, ""relax_silent_error"": 3}"
2,silent_error,3,0.22666666666666668,0.23256802721088435,0.005901360544217675,0.10000000000000002,6.333333333333333,9.0,11.333333333333334,5.0,relax_incorrect_answer|relax_low_reasoning|relax_low_structure|relax_silent_error,"{""relax_incorrect_answer"": 3, ""relax_low_reasoning"": 3, ""relax_low_structure"": 2, ""relax_silent_error"": 3}"
