pair_id,source_seed,source_run_dir,run_id,generation,model_name,example_id,A_branch,B_branch,llama_winner,llama_confidence,llama_reason,llama_judge_model,llama_judge_label,llama_repair_applied,llama_repair_actions,llama_winner_branch,llama_anchor_win,llama_pure_win,llama_tie,judge_label,llama_judge_model_failure,error_category,error_message
pair_0001,71,outputs\runs\training_confirmatory_anchor20_seed71_20260425_141959,didactic_collapse_training_confirmatory_anchor20_seed71_20260425_141959,1,qwen2.5:0.5b__pure_recycling__ft_g1_s71,gsm8k_72861951c495a29c,pure_recycling,anchor_20_append,B,2,"Explanation B has a clear step structure and accurate calculation, while Explanation A has a misleading calculation and incorrect final answer.",llama-3.1-8b,llama_pairwise,True,repair_reemit_attempt,anchor_20_append,True,False,False,,,,
pair_0002,71,outputs\runs\training_confirmatory_anchor20_seed71_20260425_141959,didactic_collapse_training_confirmatory_anchor20_seed71_20260425_141959,1,qwen2.5:0.5b__pure_recycling__ft_g1_s71,gsm8k_3f6e2f7a4278979f,anchor_20_append,pure_recycling,B,2,short,llama-3.1-8b,llama_pairwise,True,repair_reemit_attempt,pure_recycling,False,True,False,,,,
pair_0003,71,outputs\runs\training_confirmatory_anchor20_seed71_20260425_141959,didactic_collapse_training_confirmatory_anchor20_seed71_20260425_141959,1,qwen2.5:0.5b__pure_recycling__ft_g1_s71,gsm8k_b084a599b5187cf9,anchor_20_append,pure_recycling,A,2,short,llama-3.1-8b,llama_pairwise,True,repair_reemit_attempt,anchor_20_append,True,False,False,,,,
pair_0004,71,outputs\runs\training_confirmatory_anchor20_seed71_20260425_141959,didactic_collapse_training_confirmatory_anchor20_seed71_20260425_141959,1,qwen2.5:0.5b__pure_recycling__ft_g1_s71,gsm8k_f5191c8862492184,anchor_20_append,pure_recycling,B,2,short,llama-3.1-8b,llama_pairwise,True,repair_reemit_attempt,pure_recycling,False,True,False,,,,
pair_0005,71,outputs\runs\training_confirmatory_anchor20_seed71_20260425_141959,didactic_collapse_training_confirmatory_anchor20_seed71_20260425_141959,1,qwen2.5:0.5b__pure_recycling__ft_g1_s71,gsm8k_4c5aa7c186c9bbf5,anchor_20_append,pure_recycling,B,2,short,llama-3.1-8b,llama_pairwise,True,repair_reemit_attempt,pure_recycling,False,True,False,,,,
pair_0006,71,outputs\runs\training_confirmatory_anchor20_seed71_20260425_141959,didactic_collapse_training_confirmatory_anchor20_seed71_20260425_141959,1,qwen2.5:0.5b__pure_recycling__ft_g1_s71,gsm8k_bcd3e5adf2ff438a,anchor_20_append,pure_recycling,A,2,clarity and step structure are better in explanation A,llama-3.1-8b,llama_pairwise,True,repair_reemit_attempt,anchor_20_append,True,False,False,,,,
pair_0007,71,outputs\runs\training_confirmatory_anchor20_seed71_20260425_141959,didactic_collapse_training_confirmatory_anchor20_seed71_20260425_141959,1,qwen2.5:0.5b__pure_recycling__ft_g1_s71,gsm8k_b996529edad3eb91,anchor_20_append,pure_recycling,A,2,short,llama-3.1-8b,llama_pairwise,True,repair_reemit_attempt,anchor_20_append,True,False,False,,,,
pair_0008,71,outputs\runs\training_confirmatory_anchor20_seed71_20260425_141959,didactic_collapse_training_confirmatory_anchor20_seed71_20260425_141959,1,qwen2.5:0.5b__pure_recycling__ft_g1_s71,gsm8k_dc4c849f839c607b,pure_recycling,anchor_20_append,B,2,short,llama-3.1-8b,llama_pairwise,True,repair_reemit_attempt,anchor_20_append,True,False,False,,,,
pair_0009,71,outputs\runs\training_confirmatory_anchor20_seed71_20260425_141959,didactic_collapse_training_confirmatory_anchor20_seed71_20260425_141959,1,qwen2.5:0.5b__pure_recycling__ft_g1_s71,gsm8k_09ba9b7016fb4b6c,anchor_20_append,pure_recycling,A,2,clarity and step structure,llama-3.1-8b,llama_pairwise,True,repair_reemit_attempt,anchor_20_append,True,False,False,,,,
pair_0010,71,outputs\runs\training_confirmatory_anchor20_seed71_20260425_141959,didactic_collapse_training_confirmatory_anchor20_seed71_20260425_141959,1,qwen2.5:0.5b__pure_recycling__ft_g1_s71,gsm8k_5d837ba1d990c6ef,pure_recycling,anchor_20_append,A,2,short,llama-3.1-8b,llama_pairwise,True,repair_reemit_attempt,pure_recycling,False,True,False,,,,
